       Line      Address       Opcode      Label                DisAssy            
    1        0000          EF14                    GOTO 0x28                       
    2        0002          F000                    NOP                             
    3        0004          FFFF                    NOP                             
    4        0006          FFFF                    NOP                             
    5        0008          EFDD                    GOTO 0x59BA                     
    6        000A          F02C                    NOP                             
    7        000C          FFFF                    NOP                             
    8        000E          FFFF                    NOP                             
    9        0010          FFFF                    NOP                             
    10       0012          FFFF                    NOP                             
    11       0014          FFFF                    NOP                             
    12       0016          FFFF                    NOP                             
    13       0018          CFD8                    MOVFF STATUS, 0x5A              
    14       001A          F05A                    NOP                             
    15       001C          CFE8                    MOVFF WREG, 0x5B                
    16       001E          F05B                    NOP                             
    17       0020          CFE0                    MOVFF BSR, 0x5C                 
    18       0022          F05C                    NOP                             
    19       0024          EF76                    GOTO 0x4AEC                     
    20       0026          F025                    NOP                             
    21       0028          EE04                    LFSR 0, 0x4D7                   
    22       002A          F0D7                    NOP                             
    23       002C          0EC8                    MOVLW 0xC8                      
    24       002E          6EF6                    MOVWF TBLPTR, ACCESS            
    25       0030          0E0F                    MOVLW 0xF                       
    26       0032          6EF7                    MOVWF TBLPTRH, ACCESS           
    27       0034          EE10                    LFSR 1, 0x30                    
    28       0036          F030                    NOP                             
    29       0038          EC33                    CALL 0x66, 0                    
    30       003A          F000                    NOP                             
    31       003C          EE00                    LFSR 0, 0x0                     
    32       003E          F000                    NOP                             
    33       0040          0E09                    MOVLW 0x9                       
    34       0042          6AEE                    CLRF POSTINC0, ACCESS           
    35       0044          06E8                    DECF WREG, F, ACCESS            
    36       0046          E1FD                    BNZ 0x42                        
    37       0048          EE00                    LFSR 0, 0x60                    
    38       004A          F060                    NOP                             
    39       004C          EE14                    LFSR 1, 0x477                   
    40       004E          F077                    NOP                             
    41       0050          EC2C                    CALL 0x58, 0                    
    42       0052          F000                    NOP                             
    43       0054          EF62                    GOTO 0x3EC4                     
    44       0056          F01F                    NOP                             
    45       0058          6AEE                    CLRF POSTINC0, ACCESS           
    46       005A          50E5                    MOVF POSTDEC1, W, ACCESS        
    47       005C          50E1                    MOVF FSR1, W, ACCESS            
    48       005E          E1FC                    BNZ 0x58                        
    49       0060          50E2                    MOVF FSR1H, W, ACCESS           
    50       0062          E1FA                    BNZ 0x58                        
    51       0064          0012                    RETURN 0                        
    52       0066          0009                    TBLRD*+                         
    53       0068          CFF5                    MOVFF TABLAT, POSTINC0          
    54       006A          FFEE                    NOP                             
    55       006C          50E5                    MOVF POSTDEC1, W, ACCESS        
    56       006E          50E1                    MOVF FSR1, W, ACCESS            
    57       0070          E1FA                    BNZ 0x66                        
    58       0072          50E2                    MOVF FSR1H, W, ACCESS           
    59       0074          E1F8                    BNZ 0x66                        
    60       0076          0012                    RETURN 0                        
    61       0078          FFFF                    NOP                             
    62       007A          FFFF                    NOP                             
    63       007C          FFFF                    NOP                             
    64       007E          FFFF                    NOP                             
    65       0080          FFFF                    NOP                             
    66       0082          FFFF                    NOP                             
    67       0084          FFFF                    NOP                             
    68       0086          FFFF                    NOP                             
    69       0088          FFFF                    NOP                             
    70       008A          FFFF                    NOP                             
    71       008C          FFFF                    NOP                             
    72       008E          FFFF                    NOP                             
    73       0090          FFFF                    NOP                             
    74       0092          FFFF                    NOP                             
    75       0094          FFFF                    NOP                             
    76       0096          FFFF                    NOP                             
    77       0098          FFFF                    NOP                             
    78       009A          FFFF                    NOP                             
    79       009C          FFFF                    NOP                             
    80       009E          FFFF                    NOP                             
    81       00A0          FFFF                    NOP                             
    82       00A2          FFFF                    NOP                             
    83       00A4          FFFF                    NOP                             
    84       00A6          FFFF                    NOP                             
    85       00A8          FFFF                    NOP                             
    86       00AA          FFFF                    NOP                             
    87       00AC          FFFF                    NOP                             
    88       00AE          FFFF                    NOP                             
    89       00B0          FFFF                    NOP                             
    90       00B2          FFFF                    NOP                             
    91       00B4          FFFF                    NOP                             
    92       00B6          FFFF                    NOP                             
    93       00B8          FFFF                    NOP                             
    94       00BA          FFFF                    NOP                             
    95       00BC          FFFF                    NOP                             
    96       00BE          FFFF                    NOP                             
    97       00C0          FFFF                    NOP                             
    98       00C2          FFFF                    NOP                             
    99       00C4          FFFF                    NOP                             
    100      00C6          FFFF                    NOP                             
    101      00C8          FFFF                    NOP                             
    102      00CA          FFFF                    NOP                             
    103      00CC          FFFF                    NOP                             
    104      00CE          FFFF                    NOP                             
    105      00D0          FFFF                    NOP                             
    106      00D2          FFFF                    NOP                             
    107      00D4          FFFF                    NOP                             
    108      00D6          FFFF                    NOP                             
    109      00D8          FFFF                    NOP                             
    110      00DA          FFFF                    NOP                             
    111      00DC          FFFF                    NOP                             
    112      00DE          FFFF                    NOP                             
    113      00E0          FFFF                    NOP                             
    114      00E2          FFFF                    NOP                             
    115      00E4          FFFF                    NOP                             
    116      00E6          FFFF                    NOP                             
    117      00E8          FFFF                    NOP                             
    118      00EA          FFFF                    NOP                             
    119      00EC          FFFF                    NOP                             
    120      00EE          FFFF                    NOP                             
    121      00F0          FFFF                    NOP                             
    122      00F2          FFFF                    NOP                             
    123      00F4          FFFF                    NOP                             
    124      00F6          FFFF                    NOP                             
    125      00F8          FFFF                    NOP                             
    126      00FA          FFFF                    NOP                             
    127      00FC          FFFF                    NOP                             
    128      00FE          FFFF                    NOP                             
    129      0100          FFFF                    NOP                             
    130      0102          FFFF                    NOP                             
    131      0104          FFFF                    NOP                             
    132      0106          FFFF                    NOP                             
    133      0108          FFFF                    NOP                             
    134      010A          FFFF                    NOP                             
    135      010C          FFFF                    NOP                             
    136      010E          FFFF                    NOP                             
    137      0110          FFFF                    NOP                             
    138      0112          FFFF                    NOP                             
    139      0114          FFFF                    NOP                             
    140      0116          FFFF                    NOP                             
    141      0118          FFFF                    NOP                             
    142      011A          FFFF                    NOP                             
    143      011C          FFFF                    NOP                             
    144      011E          FFFF                    NOP                             
    145      0120          FFFF                    NOP                             
    146      0122          FFFF                    NOP                             
    147      0124          FFFF                    NOP                             
    148      0126          FFFF                    NOP                             
    149      0128          FFFF                    NOP                             
    150      012A          FFFF                    NOP                             
    151      012C          FFFF                    NOP                             
    152      012E          FFFF                    NOP                             
    153      0130          FFFF                    NOP                             
    154      0132          FFFF                    NOP                             
    155      0134          FFFF                    NOP                             
    156      0136          FFFF                    NOP                             
